benchmark,run,result
sieve,baseline,missing
sieve,myopt,0
bubblesort,baseline,missing
bubblesort,myopt,0
primitive-root,baseline,missing
primitive-root,myopt,incorrect
adler32,baseline,missing
adler32,myopt,0
adj2csr,baseline,missing
adj2csr,myopt,0
max-subarray,baseline,missing
max-subarray,myopt,0
mat-mul,baseline,missing
mat-mul,myopt,0
fib,baseline,missing
fib,myopt,0
vsmul,baseline,missing
vsmul,myopt,0
quicksort,baseline,missing
quicksort,myopt,0
two-sum,baseline,missing
two-sum,myopt,0
eight-queens,baseline,missing
eight-queens,myopt,0
binary-search,baseline,missing
binary-search,myopt,0
